"","Date","TrapID","New_Recap","Species","Sex","Age","Weight","Comments","NA","NA","NA","NA","NA","Pregnant","Lactating","Breeding"
"70",2011-05-30,"2C","Recapture","Peromyscus maniculatus","Female","Adult",25,"Agg=3, added 6895,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"71",2011-05-30,"2E","Recapture","Peromyscus maniculatus","Female","Adult",20,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"72",2011-05-30,"2G","Recapture","Myodes gapperi","Male","Adult",18.5,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"73",2011-05-30,"2H","Recapture","Peromyscus maniculatus","Female","Adult",30.5,"Agg=2, Added 6899,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"74",2011-05-30,"2I","Recapture","Tamias amoenus","Female","Adult",47,",Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"75",2011-05-30,"2J","Recapture","Peromyscus maniculatus","Male","Adult",16,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"76",2011-05-30,"1Q","Recapture","Peromyscus maniculatus","Female","Adult",16,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"77",2011-05-30,"1L",NA,"Myodes gapperi","Male","Adult",18.5,"Agg=1, hair missing, added 6982, 6983,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"78",2011-05-30,"1N","Recapture","Peromyscus maniculatus","Female","Adult",18.5,"Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"79",2011-06-01,"2A","New","Tamias amoenus","Male","Adult",NA,"Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"80",2011-06-01,"2B","Recapture","Peromyscus maniculatus","Female","Adult",28,"Agg=2, mongo preg,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"81",2011-06-01,"2C","Recapture","Peromyscus maniculatus","Female","Adult",NA,"Agg=2, mongo preg,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"82",2011-06-01,"2D","Recapture","Peromyscus maniculatus","Female","Adult",18.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"83",2011-06-01,"2E","Recapture","Myodes gapperi","Male","Adult",17.5,"Agg=1, chatty, peed all over,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"84",2011-06-01,"2G","Recapture","Myodes gapperi",NA,NA,NA,"Escaped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
