,Trap#,,Spp.,Tag (one),Tag (two),Sex,Age,Wt (g),Condition,Remarks
15/05/2008,1M,R,Pm,4518,4519,M,A,16.5,S,
19/05/2008,1M,R,Pm,3811,4476,F,A,17.5,B,
21/05/2008,1M,N,Pm,4551,4596,F,A,16.5,NB,
11/06/2008,1M,N,Mg,2876,2879,F,A,14,NB,HAIR SAMPLE TAKEN
03/07/2008,1M,N,Zp,-,-,M,A,24,S,
07/07/2008,1M,R,Mg,-,-,M,A,26.5,S,NO EARS LEFT
14/07/2008,1M,R,Mg,4362,-,F,A,24.5,NB,LOVES BEDDING
16/07/2008,1M,R,Mg,4362,9875 (NEW),F,A,28,,LAC
21/07/2008,1M,R,Pm,2894,9816 (NEW),M,A,20,S,
23/07/2008,1M,N,Pm,-,-,-,J,-,-,ESCAPED
28/07/2008,1M,R,Pm,4466,4473,F,A,22,LAC,
30/07/2008,1M,R,Mg,BULL'S EJE ON BACK,,M,A,24,S,
04/08/2008,1M,R,Mg,4362,9817,F,A,29,B,
06/08/2008,1M,R,Mg,4337 (NEW),-,M,A,22,S,4337 IS NEW
11/08/2008,1M,R,Pm,2894,-,M,A,20,NS,
22/08/2008,1M,R,Mg,5107 (NEW),-,M,A,16.5,S,5107 IS NEW TAG
25/08/2008,1M,R,Pm,5910,6189,F,J,11.5,NB,
27/08/2008,1M,R,Pm,5189,5190,F,J,14,NB,
19/05/2008,1N,N,Ta,-,-,M,A,49,S,
21/05/2008,1N,N,Pm,2549,2551,M,A,17.5,S,
26/05/2008,1N,R,Pm,4507,4508,F,A,15.5,NB,
16/06/2008,1N,R,Pm,2550,-,M,A,23.5,S,lost one tag
20/06/2008,1N,N,Ta,-,-,F,A,?,NB,DEAD IN TRAP
09/07/2008,1N,N,Zp,-,-,M,A,21,S,
30/07/2008,1N,R,Zp,-,-,M,A,20,S,
11/08/2008,1N,R,Zp,-,-,F,A,33,L,HAIR
13/08/2008,1N,R,Pm,4466,4473,F,A,23.5,P,
22/08/2008,1N,R,Pm,2894,-,M,A,23,NS,
13/05/2008,1O,N,Mg,4522,4523,M,A,22,NS,
21/05/2008,1O,N,Pm,3952,4595,M,A,15,S,
26/05/2008,1O,R,Mg,3959,3960,M,A,19,S,
04/06/2008,1O,R,Pm,4322,4323,F,A,24.5,P,
09/06/2008,1O,R,Mg,3999 (NEW),-,M,A,22,S,"lost both tags, one new tag"
03/07/2008,1O,R,Mg,-,-,M,A,23.5,NS,"NO TAGS, NO EARS"
09/07/2008,1O,R,Mg,-,-,M,A,21,S,NO TAGS OR EARS
21/07/2008,1O,R,Mg,V' SHAPED HAIR CUT ON BACK,,M,A,22,NS,"EARS TOO RIPPED , V SHAPE CUT OUT OF BACK HAIR"
23/07/2008,1O,R,Mg,X SHAPE CHAIR CUT,,-,A,23,-,
28/07/2008,1O,N,Mg,-,-,-,J,-,-,DEAD IN TRAP
30/07/2008,1O,N,Pm,9826,9827,M,J,13,NS,
06/08/2008,1O,R,Pm,4422,4423,M,J,14,NS,
11/08/2008,1O,N,SHREW,-,-,-,-,2.5,-,DEAD
13/08/2008,1O,N,Pm,5189,5190,F,J,9.5,NB,GOT HAIR
25/08/2008,1O,R,Pm,9913,9958 (NEW),F,J,11.5,NB,
27/08/2008,1O,R,Mg,V ON BACK,-,M,A,24.5,NS,
13/05/2008,1P,R,Pm,-,-,M,A,18,NS,"both old tags were missing, escaped before new tags were put in"
15/05/2008,1P,N,Pm,4477,4478,F,A,14.5,NB,HAIR
21/05/2008,1P,R,Mg,4523,(new) 4594,M,A,17.5,NS,4594 IS NEW TAG
26/05/2008,1P,R,Mg,4387 (NEW),-,M,A,21,S,"lost both tags, 1 new tag"
28/05/2008,1P,R,Mg,4387,-,M,A,20.5,S,
02/06/2008,1P,R,Mg,4370 (NEW),4371 (NEW),M,A,20.5,S,"hair sample taken, both tags are new"
09/06/2008,1P,R,Ta,-,-,F,A,48.5,NB,
11/06/2008,1P,R,Mg,2884 (NEW),4387,M,A,21,NS,
23/06/2008,1P,N,Ta,-,-,M,A,-,S,
03/07/2008,1P,N,Zp,-,-,M,A,22.5,S,
09/07/2008,1P,N,Pm,2945,?,F,A,10,NB,
16/07/2008,1P,N,Pm,9822,9823,M,J,15.5,S,
04/08/2008,1P,N,Zp,-,-,F,A,32.5,LAC,
06/08/2008,1P,R,Ta,-,-,F,A,-,NB,
11/08/2008,1P,N,Mg,9993,9994,M,A,14.5,S,
13/08/2008,1P,N,Pm,5191,5192,M,A,15,NS,
18/08/2008,1P,R,Pm,5191,5192,M,A,15,NS,
22/08/2008,1P,N,Mg,5106,5114,F,A,20,B,
13/05/2008,1Q,N,Mg,4520,4521,M,A,18,NS,
19/05/2008,1Q,R,Mg,4520,4521,M,A,19,NS,
26/05/2008,1Q,R (?),Ta,-,-,M,A,?,S,
28/05/2008,1Q,R,Mg,3959,-,M,A,22.5,S,LOST 1 TAG
02/06/2008,1Q,R,Pm,4312,4313,F,A,32,Preg,
04/06/2008,1Q,R,Mg,3959,-,M,A,22,NS,missing one tag (3960)
09/06/2008,1Q,R,Mg,4371,-,M,A,23.5,S,
16/06/2008,1Q,R,Mg,-,-,-,A,21,-,ESCAPED
20/06/2008,1Q,R,Mg,-,-,M,A,?,S,ESCAPED
23/06/2008,1Q,R,Pm,3814,4517,F,A,20,LAC,
27/06/2008,1Q,R,Mg,3907,3999,M,A,19.5,S,
30/06/2008,1Q,N,Ta,-,-,M,A,49,S,
03/07/2008,1Q,R,Pm,4312,4472,F,A,21.5,PREG,HAIR
14/07/2008,1Q,N,Pm,4429,4434,M,J,12,S,
21/07/2008,1Q,R,Pm,9822,9823,M,J,13,NS,
06/08/2008,1Q,N,Mg,4338,4339,F,J,12,NB,
22/08/2008,1Q,N,Pm,5112,5113,M,J,13.5,NS,
25/08/2008,1Q,R,Pm,5112,5113,F,A,19.5,NB,
27/08/2008,1Q,R,Pm,5112,5113,F,A,16,NB,
13/05/2008,1R,-,Ta,-,-,F,A,48,NS,
15/05/2008,1R,R,Pm,3811,4476,F,A,-,B,"MISSING TAGS, ADDED 3811, 4476, SCALE BROKE"
