Date,Trap#,Spp.,New/Recap,Tag (one),Tag (two),Sex,Age,Wt,Condition,Dye,Remarks
28-jun,1E,Pm,R,4099,4100,M,A,21,S,,Lost 4099
28-jun,2B,Pm,R,7452,7453,M,A,23,S,,
28-jun,2L,Pm,R,4068,8802,F,A,22,NB,,blue
28-jun,1D,Pm,R,8894,8895,M,A,22,S,,
28-jun,1P,Pm,R,2165,,M,A,22,NS,,
28-jun,1R,Pm,R,8756,,F,A,19,NB,,Orange
03-jul,2F,Mg,N,2155,2156,F,J,12,NB,,
03-jul,1K,Pm,N,2159,2161,M,A,20,S,,DNA
03-jul,1T,Pm,R,2163,2164,F,A,24,P,,
03-jul,2C,Pm,R,7452,7453,M,A,24.5,S,,
03-jul,2D,Pm,R,8102,8187,M,A,21,S,,
03-jul,2L,Pm,R,4068,8802,F,A,28,P,,"rubed, blue"
03-jul,2B,Mg,R,4003,8884,F,A,26,NB,,
03-jul,2M,Mg,R,2158,,M,A,23,S,,"no tags, retagged"
03-jul,1E,Pm,R,2162,,M,A,20,S,,"DNA, new tag"
03-jul,1R,Pm,R,2165,,M,A,23.5,S,,
03-jul,1P,Pm,R,8756,,F,A,20,L,,"rubbed, orange"
03-jul,2L,Pm,R,8891,,F,A,30,P,,Flea powder/pink
05-jul,2F,Mg,R,2155,2156,F,J,14,NB,,
05-jul,2G,Pm,R,2159,2161,M,A,18,S,,
05-jul,1T,Pm,R,2163,2164,F,A,24,P,,"DNA, flea powder, comb = 0"
05-jul,2M,Mg,R,2176,2178,M,A,20,NS,,2 new tags
05-jul,2L,Pm,N,2179,2180,M,J,12,NS,,DNA
05-jul,2A,Pm,R,7452,7453,M,A,24,S,,
05-jul,1C,Pm,R,8102,8187,M,A,19,S,,
05-jul,2B,Mg,R,4003,8884,F,A,27,P,,
05-jul,1E,Pm,R,2162,,M,A,21,NS,,
05-jul,1P,Pm,R,2165,,M,A,22,S,,"DNA, orange on him"
05-jul,1R,Pm,R,8756,,F,A,21,NB,,orange
05-jul,1M,Pm,R,8891,,F,A,,,,escapee
12-jul,1K,Pm,R,2159,2161,M,A,21.5,S,,
12-jul,1E,Pm,N,2185,2186,M,A,20,S,,DNA
12-jul,1T,Pm,N,2187,2188,M,J,23,NS,,DNA
12-jul,2L,Pm,R,2190,2191,M,A,22,S,,DNA
12-jul,2L,Pm,R,4068,8802,F,A,22.5,NB,,"rubbed, blue"
12-jul,2B,Mg,R,4003,8884,F,A,,NB,,
12-jul,1M,Pm,R,2120,,M,J,14,NS,,
12-jul,2A,Mg,N,2127,,F,A,23,L,,
12-jul,1D,Pm,R,2162,,M,A,20.5,S,,
12-jul,1T,Mg,N,2189,,F,A,21,NB,,
12-jul,2L,Mg,R,4051,,M,A,,S,,
12-jul,1Q,Pm,R,8756,,F,A,22.5,L,,"rubbed, orange"
12-jul,2K,Pm,R,8891,,F,A,23,L,,Flea powder/pink
14-jul,1Q,Pm,N,2136,2137,M,A,17,S,,DNA
14-jul,2G,Mg,R,2142,2143,F,A,12,NB,,new tags
14-jul,1E,Pm,R,2159,2161,M,A,21,S,,
14-jul,2B,Mg,R,4003,8884,F,A,24,P,,
14-jul,1L,Pm,R,2120,,M,J,15,NS,,
14-jul,1T,Mg,N,2138,,M,J,16,NS,,
14-jul,1T,Mg,N,2139,,,A,17,,,escapee
14-jul,2H,Mg,N,2141,,M,A,24.5,S,,
14-jul,2C,Mg,R,2150,,M,A,23,S,,
14-jul,1D,Pm,R,2162,,M,A,21.5,S,,
14-jul,2L,Mg,R,4051,,M,A,24,NS,,
14-jul,1O,Pm,R,8756,,F,A,24.5,P,,
14-jul,2L,Pm,R,8891,,F,A,25,P,,DNA
14-jul,2K,Mg,R,stubby tail,,M,A,26,,,"stubby tail, escapee"
18-jul,1J,Pm,R,2159,2161,M,A,20,S,,
18-jul,1D,Pm,N,2301,2302,M,A,22,S,,"DNA, poop"
18-jul,2L,Pm,N,2303,2304,M,A,17,NS,,"DNA, poop"
18-jul,2C,Mg,R,4003,8884,F,A,,L,,babies born in trap
18-jul,1K,Pm,R,2120,,M,YY,14.5,NS,,
18-jul,2L,Mg,R,2306,,F,J,15.5,NB,,new tag
18-jul,1Q,Pm,R,8756,,F,A,22,P,,rubbed
18-jul,2L,Pm,R,8891,,F,A,27,P/L,,powdered
18-jul,2J,Mg,R,stubby tail,,M,A,24,S,,"stubby tail, escapee"
20-jul,1T,Pm,R,2136,2137,M,YY,16,S,,
20-jul,1E,Pm,R,2159,2161,M,A,20,S,,
20-jul,1T,Pm,R,2187,2188,M,YY,15,NS,,
20-jul,2A,Pm,R,2301,2302,M,A,17,S,,
20-jul,1K,Pm,R,2120,,M,YY,14.5,NS,,
