Date,Trap #,New/Recap,Species,Tag,Tag,Sex,Age,Weight,Condition,Remarks,
July 28th,2I,,Zp,,,,,,,,
July 28th,2F,R,Cg,"upside down T, middle of back with hair sample",,M,A,26,NS,,
July 28th,2B,,Ta,,,,,,,,
August 1st,1A,R,Pm,middle of back,,F,A,26,P/L?,,
August 1st,1E,R,Pm,7775,B276,F,J,15,NB,escaped,
August 1st,1F,N,Pm,B285,B286,M,J,9,NS,escaped,
August 1st,1H,R,Pm,B280,B284,F,A,26,NB,escaped,
August 1st,1I,R,Pm,7907,,F,J,14,NB,,
August 1st,1L,R,Pm,I on back,,M,A,25,NS,,
August 1st,1O,R,Pm,7769,7770,F,J,14,NB,bled,
August 1st,1P,,Ta,,,,,,,,
August 1st,1S,,Zp,,,,,,,,
August 1st,2F,,Zp,,,,,,,,
August 1st,2E,,Zp,,,,,,,,
August 1st,2D,R,Pm,B279,B281,M,J,16,NS,,
August 1st,2B,R,Pm,7917,7918,M,J,15,NS,,
August 4th,1A,,Zp,,,,,,,,
August 4th,1D,R,Pm,B279,B281,M,J,15,NS,,
August 4th,1G,R,Pm,7907,B287,F,J,13.5,NB,B287 = NEW TAG; bled,
August 4th,1H,R,Pm,7452,7453,M,A,20.5,SEMI-SCROTAL,,
August 4th,1I,R,Pm,B282,B283,F,J,13.5,NB,,
August 4th,1J,R,Pm,B285,B286,M,J,11,NS,bled,
August 4th,1K,,Ta,,,,,,,,
August 4th,1N,N,Cg,B288,B289,F,A,28,P,,
August 4th,1P,,Zp,,,,,,,,
August 4th,1S,R,Pm,7773,7774,M,J,14.5,NS,,
August 4th,2M,,Ta,,,,,,,,
August 4th,2K,R,Pm,B290,B291,M,A,17.5,NS,,
August 4th,2J,,Zp,,,,,,,,
August 4th,2I,R,Pm,B280,B284,F,A,28,P,killed the Zp in same trap,
August 4th,2I,,Zp,,,,,,,dead in trap,
August 4th,2G,R,Pm,,,F,,,P?,escaped,
August 4th,2D,R,Pm,B292,B293,F,A,21,L,new tags,
August 4th,2B,R,Pm,7917,7918,M,J,15.5,NS,,
August 8th,1A,R,Pm,B279,B281,M,A,18,NS,,
August 8th,1B,R,Pm,7452,,M,A,20,NS,didn't read other tag,
August 8th,1C,R,Pm,7917,7918,F,J,14.5,NB,,
