Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks,,,
29-Jun,1L,R,Mg,5279,,M,A,20.0,S,"Added new tag (5279), very bad ears",,,
29-Jun,2M,R,Pm,5356,5499,M,A,22.0,S,,,,
29-Jun,2F,N,Ml,,,F,A,23.0,NB,Forgot to take hair,,,
29-Jun,2B,R,Ta,,,M,A,60+,,Escaped,,,
29-Jun,2H,R,Ta,,,M,A,60+,S,,,,
29-Jun,2J,R,Ta,,,F,A,51.5,NB,,,,
29-Jun,1I,R,Zp,,,F,A,29.5,P,,,,
29-Jun,1O,R,Zp,,,F,A,24.5,NB,,,,
1-Jul,2D,R,Pm,3986,5085,M,A,19.5,S,,,,
1-Jul,2I,R,Pm,3987,5201,F,A,18.0,P,,,,
1-Jul,1S,R,Pm,5035,,F,A,19.5,P,Lost DWM 9967,,,
1-Jul,1Q,N,Mg,5057,5058,F,J,11.0,NB,,,,
1-Jul,1O,R,Mg,5061,,M,A,21.0,S,no retag,,,
1-Jul,2M,R,Pm,5212,5621,M,A,24.0,S,,,,
1-Jul,1A,R,Pm,5278,5620,M,A,18.5,S,,,,
1-Jul,1L,R,Mg,5279,,M,A,20.0,S,one bad ear,,,
1-Jul,1N,R,Pm,5356,5499,M,A,21.0,S,,,,
1-Jul,1E,R,Ta,,,,,,,escaped!,,,
1-Jul,1K,R,Ta,,,M,A,49.0,NS,,,,
1-Jul,2F,R,Ta,,,M,A,60+,NS,,,,
1-Jul,2G,R,Ta,,,,,60+,,escaped!,,,
1-Jul,2J,R,Ta,,,M,A,60+,NS,,,,
1-Jul,1T,R,Zp,,,M,A,16.0,NS,,,,
7-Jul,1N,R,Pm,3986,,M,A,22.0,S,"Ripped ear, lost 5085",,,
7-Jul,1Q,R,Pm,5035,,F,A,23.0,P?/L,Ripped ear,,,
7-Jul,2L,R,Mg,5061,,M,A,22.0,NS,"No retag, bad ear",,,
7-Jul,2K,N,Pm,5079,5080,F,J,5.5,NB,Forgot to take hair - white hair on head,,,
7-Jul,2H,R,Pm,5212,5621,M,A,24.5,NS,,,,
7-Jul,1A,R,Pm,5278,5620,M,A,21.5,S,,,,
7-Jul,2J,R,Mg,5279,,M,A,21.0,NS,"No retag, bad ear",,,
7-Jul,2B,R,Ta,,,M,A,60+,NS,,,,
7-Jul,1F,R,Zp,,,M,A,23.0,NS,,,,
9-Jul,2I,R,Pm,3987,5201,F,A,19.0,B,,,,
9-Jul,1S,R,Pm,5035,5626,F,A,28.5,P/L,Very cold and wobbly,,,
9-Jul,1M,R,Mg,5076,,M,A,21.0,NS,"Only 1 retag, bad ear",,,
9-Jul,2J,R,Pm,5079,5080,F,J,8.5,NB,,,,
9-Jul,2H,R,Pm,5231,5621,M,A,25.0,S,Added 5231,,,
9-Jul,2A,R,Pm,5278,5620,M,A,20.0,S,,,,
9-Jul,2L,N,Pm,5327,5328,F,A,23.5,P/L,Forgot hair,,,
9-Jul,1N,R,Mg,R side stripe,,M,A,19.0,NS,"Bad ears, stripe down R side",,,
9-Jul,1B,N,Ml,,,F,A,21.0,NB,Hair taken,,,
9-Jul,1O,,Pm,,,,,,,Escapee,,,
9-Jul,1P,R,Ta,,,M,A,60+,NS,,,,
9-Jul,1C,,Zp,,,,,,,Escapee,,,
9-Jul,1D,N,Zp,,,F,A,30.5,P/L,Hair taken,,,
9-Jul,2E,R,Zp,,,F,A,28.0,NB,,,,
13-Jul,2M,R,Mg,5076,,M,A,,S,"Forgot to weigh, bad ear",,,
13-Jul,2D,R,Pm,5231,5621,M,A,23.5,S,,,,
13-Jul,2B,R,Pm,5278,5620,M,A,19.0,S,,,,
13-Jul,2L,N,Pm,5645,5646,F,A,23.0,P/L,Took hair,,,
13-Jul,1L,R,Mg,R side stripe,,M,A,19.0,S,,,,
13-Jul,2J,R,Pm,,,,A,,,"Escaped, one ear badly ripped",,,
13-Jul,2E,R,Ta,,,M,A,60+,S,,,,
13-Jul,2I,R,Ta,,,M,A,60+,NS,,,,
13-Jul,1T,N,Zp,,,F,A,34.5,P/L,Too stressed for hair sample,,,
13-Jul,1F,R,Zp,,,F,A,27.5,L,,,,
13-Jul,1J,R,Zp,,,F,A,23.5,B,,,,
13-Jul,1M,R,Zp,,,F,A,30.0,B,,,,
13-Jul,1N,N,Zp,,,F,A,23.0,B,Took hair,,,
13-Jul,1S,N,Zp,,,M,A,27.5,S,Took hair,,,
15-Jul,2J,R,Pm,3986,,M,A,22.0,S,"Injured, spitting up blood",,,
15-Jul,2I,R,Pm,3987,5201,F,A,22.0,P,,,,
15-Jul,1N,R,Mg,5076,,M,A,22.5,S,one bad ear,,,
15-Jul,2H,R,Pm,5231,5621,M,A,23.0,S,,,,
15-Jul,2A,R,Pm,5278,5620,M,A,21.5,S,,,,
15-Jul,2E,N,Pm,5496,5497,M,J,8.0,NS,Took hair,,,
15-Jul,2L,R,Pm,5645,5646,F,A,25.0,P/L,,,,
15-Jul,1K,R,Mg,2 rump spots,,M,A,20.0,S,2 hair samples taken from each side of body,,,
15-Jul,1T,N,Ml,,,F,J/A,16.0,NB,Took hair,,,
15-Jul,1F,N,Zp,,,F,A,23.5,NB,Calm like a bomb,,,
15-Jul,1L,N,Zp,,,F,A,32.0,P,Super loose skin,,,
15-Jul,1M,N,Zp,,,F,A,26.0,NB,,,,
15-Jul,1O,R,Zp,,,F,A,27.0,NB,Preg?,,,
15-Jul,1P,R,Zp,,,M,A,25.5,S,white hair on head,,,
15-Jul,1Q,R,Zp,,,M,A,51.5,NS,,,,
15-Jul,2F,R,Zp,,,F,A,28.0,P,,,,
15-Jul,2G,R,Zp,,,,A,,,Escaped,,,
20-Jul,2K,R,Pm,3986,,M,A,20.0,S,one bad ear,,,
20-Jul,2I,R,Pm,3987,5201,F,A,18.0,B,,,,
20-Jul,2J,R,Pm,5079,5469,F,J,10.5,NB,"Lost 5080, added 5469",,,
20-Jul,2C,N,Pm,5413,5497,M,A,19.5,S,Took hair,,,
20-Jul,2A,N,Pm,5417,5618,M,A,19.5,S,"Took hair, very brown colour",,,
20-Jul,2E,R,Pm,5496,5497,M,J,5.0,NS,,,,
20-Jul,2L,R,Pm,5645,5646,F,A,18.5,L,,,,
20-Jul,2B,N,Ta,,,M,A,60+,NS,Took hair,,,
20-Jul,2G,N,Ta,,,M,A,60+,NS,Took hair,,,
20-Jul,1B,N,Zp,,,F,A,32.5,P/L,"No hair, bit me then escaped!",,,
22-Jul,1H,R,Pm,3987,5201,F,A,18.0,NB,,,,
22-Jul,2J,R,Pm,5079,5469,F,J,11.5,NB,,,,
22-Jul,2I,R,Pm,5413,5430,M,A,19.0,S,,,,
22-Jul,1J,N,Pm,5474,5475,F,J,10.0,NB,Took hair,,,
22-Jul,2K,R,Pm,5496,5497,M,J,10.0,NS,,,,
22-Jul,2A,N,Pm,5509,5533,F,J,11.5,NB,Took hair,,,
22-Jul,2M,R,Pm,5645,5646,F,A,26.0,NB,,,,
22-Jul,1N,R,Mg,R side stripe,,M,A,8.5,S,,,,
22-Jul,2B,R,Ta,,,F,A,60+,NB,,,,
